,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,remodeled,Age,RemodelAge,total_other_rooms,outdoorspace,reg_lot_shp,leveled_land,culdsac,1fam_hm,unf_attic,hip_roof,premium_ext,exclnt_extr,cblock_foundation,pconc_foundation,other_foundation,exclnt_bsmt,bsmt_exosure,bsmt_finished,bsmt_rec,excellent_heating,central_AC,kitchen_exclnt,fireplace_exclnt,attached_garage,finsihed_garage,pave_drive,normal_sale,vnr_brk,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
10,75.0,10000,6,5,0.0,0.0,0.0,763.0,0,1655,0.0,2,1,3,1,1,1993.0,2.0,440.0,175900,True,17,16,4,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0,7980,6,7,0.0,935.0,0.0,1168.0,0,1187,1.0,2,0,3,1,0,1992.0,2.0,420.0,185000,True,18,3,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.0,8402,6,5,0.0,0.0,0.0,789.0,0,1465,0.0,2,1,3,1,1,1998.0,2.0,393.0,180400,False,12,12,4,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,85.0,10176,7,5,0.0,637.0,0.0,1300.0,0,1341,1.0,1,1,2,1,1,1990.0,2.0,506.0,171500,False,20,20,3,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0,6820,8,5,0.0,368.0,1120.0,1488.0,0,1502,1.0,1,1,1,1,0,1985.0,2.0,528.0,212000,False,25,25,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,47.0,53504,8,5,603.0,1416.0,0.0,1650.0,0,3279,1.0,3,1,4,1,1,2003.0,3.0,841.0,538000,False,7,7,8,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,152.0,12134,8,7,0.0,427.0,0.0,559.0,0,1752,0.0,2,0,4,1,0,1988.0,2.0,492.0,164000,True,22,5,4,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,88.0,11394,9,2,350.0,1445.0,0.0,1856.0,0,1856,1.0,1,1,1,1,1,2010.0,3.0,834.0,394432,False,0,0,7,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,140.0,19138,4,5,0.0,120.0,0.0,864.0,0,864,0.0,1,0,2,1,0,1951.0,2.0,400.0,141000,False,59,59,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,85.0,13175,6,6,119.0,790.0,163.0,1542.0,0,2073,1.0,2,0,3,1,2,1978.0,2.0,500.0,210000,True,32,22,4,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,105.0,11751,6,6,480.0,705.0,0.0,1844.0,0,1844,0.0,2,0,3,1,1,1977.0,2.0,546.0,190000,False,33,33,4,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,85.0,10625,7,6,81.0,885.0,168.0,1053.0,0,1173,1.0,2,0,3,1,2,1974.0,2.0,528.0,170000,False,36,36,3,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,0.0,7500,7,5,0.0,533.0,0.0,814.0,0,1674,1.0,2,1,3,1,0,2000.0,2.0,663.0,216000,False,10,10,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0.0,11241,6,7,180.0,578.0,0.0,1004.0,0,1004,1.0,1,0,2,1,1,1970.0,2.0,480.0,149000,False,40,40,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,12537,5,6,0.0,734.0,0.0,1078.0,0,1078,1.0,1,1,3,1,1,1971.0,2.0,500.0,149900,True,39,2,3,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,65.0,8450,5,6,0.0,775.0,0.0,1056.0,0,1056,1.0,1,0,3,1,1,1968.0,1.0,304.0,142000,False,42,42,3,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,70.0,8400,4,5,0.0,804.0,78.0,882.0,0,882,1.0,1,0,2,1,0,1970.0,2.0,525.0,126000,False,40,40,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,70.0,10500,4,5,0.0,432.0,0.0,864.0,0,864,0.0,1,0,3,1,1,0.0,0.0,0.0,115000,False,39,39,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,26.0,5858,7,5,0.0,1051.0,0.0,1405.0,0,1337,1.0,2,0,2,1,1,1999.0,2.0,511.0,184000,False,11,11,3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,21.0,1680,6,5,504.0,156.0,0.0,483.0,0,987,0.0,1,1,2,1,0,1971.0,1.0,264.0,96000,False,39,39,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,21.0,1680,5,5,492.0,300.0,0.0,525.0,0,1092,0.0,1,1,3,1,0,1997.0,1.0,320.0,105500,False,39,39,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,21.0,1680,6,5,381.0,0.0,0.0,525.0,0,1092,0.0,1,1,3,1,0,1971.0,1.0,264.0,88000,False,39,39,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,53.0,4043,6,5,0.0,360.0,0.0,1069.0,0,1069,0.0,2,0,2,1,1,1977.0,2.0,440.0,127500,False,33,33,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,24.0,2280,6,6,0.0,514.0,0.0,855.0,0,1456,0.0,2,1,3,1,1,1975.0,2.0,440.0,149900,False,35,35,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,24.0,2280,7,6,0.0,0.0,0.0,836.0,0,836,0.0,1,0,2,1,0,1975.0,1.0,308.0,120000,False,35,35,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,24.0,2280,6,5,0.0,311.0,0.0,855.0,0,1456,0.0,2,1,3,1,1,1978.0,2.0,440.0,146000,False,32,32,4,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,102.0,12858,9,5,162.0,0.0,0.0,1590.0,0,2334,0.0,2,1,3,1,1,2009.0,3.0,751.0,376162,True,1,0,7,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,98.0,11478,8,5,200.0,1218.0,0.0,1704.0,0,1704,1.0,2,0,3,1,1,2008.0,3.0,772.0,306000,True,3,2,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,83.0,10159,9,5,450.0,1646.0,0.0,1930.0,0,1940,1.0,2,1,3,1,1,2010.0,3.0,606.0,395192,True,1,0,5,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,94.0,12883,8,5,256.0,0.0,0.0,1544.0,0,1544,0.0,2,0,3,1,0,2009.0,3.0,868.0,290941,True,1,0,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,95.0,12182,7,5,226.0,1201.0,0.0,1541.0,0,1541,0.0,2,0,3,1,1,2005.0,2.0,532.0,220000,False,5,5,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,90.0,11520,9,5,615.0,110.0,0.0,1698.0,0,1698,0.0,2,0,3,1,1,2005.0,3.0,730.0,275000,False,5,5,4,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,79.0,14122,8,5,240.0,28.0,0.0,1822.0,0,1822,0.0,2,0,3,1,1,2005.0,3.0,678.0,259000,True,5,4,5,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,70.0,10171,7,5,168.0,2.0,0.0,1517.0,0,1535,0.0,2,0,3,1,0,2004.0,2.0,532.0,214000,False,6,6,4,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,100.0,12919,9,5,760.0,2188.0,0.0,2330.0,0,2364,1.0,2,1,2,1,2,2009.0,3.0,820.0,611657,True,1,0,9,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,44.0,6371,7,5,128.0,733.0,0.0,1358.0,0,1358,1.0,2,0,2,1,1,2010.0,2.0,484.0,224000,True,1,0,4,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,110.0,14300,9,5,1095.0,1373.0,0.0,2846.0,0,2696,1.0,2,1,3,1,2,2003.0,3.0,958.0,500000,True,7,6,7,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,105.0,13650,8,5,232.0,578.0,0.0,1671.0,0,2250,1.0,2,1,3,1,1,2002.0,3.0,756.0,320000,False,8,8,4,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,61.0,7658,9,5,412.0,456.0,0.0,1752.0,0,1752,1.0,2,0,2,1,1,2005.0,2.0,576.0,319900,False,5,5,4,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,41.0,7132,8,5,178.0,24.0,0.0,1370.0,0,1370,0.0,2,0,2,1,1,2006.0,2.0,484.0,205000,False,4,4,4,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,36.0,2628,7,5,106.0,0.0,0.0,764.0,0,1626,0.0,2,1,2,1,0,2003.0,2.0,474.0,175500,False,7,7,4,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,100.0,18494,6,5,0.0,0.0,0.0,1324.0,0,1324,0.0,2,0,3,1,0,2005.0,2.0,430.0,199500,False,5,5,3,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,43.0,3203,7,5,14.0,16.0,0.0,1145.0,0,1145,0.0,2,0,2,1,0,2006.0,2.0,437.0,160000,False,4,4,4,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,43.0,3182,8,5,16.0,24.0,0.0,1256.0,0,1269,0.0,2,0,2,1,1,2004.0,2.0,430.0,192000,True,6,5,4,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,67.0,13300,7,5,0.0,326.0,0.0,384.0,0,1374,1.0,2,1,3,1,1,2004.0,2.0,400.0,184500,False,6,6,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.0,7851,6,5,0.0,625.0,0.0,860.0,0,1960,1.0,2,1,4,1,2,2002.0,2.0,440.0,216500,False,8,8,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,63.0,8577,7,5,0.0,0.0,0.0,847.0,0,1733,0.0,2,1,3,1,1,2004.0,2.0,433.0,185088,False,6,6,4,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.0,7750,7,5,0.0,250.0,0.0,384.0,0,1430,0.0,2,1,3,1,1,2000.0,2.0,400.0,180000,False,10,10,4,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.0,9505,7,5,180.0,0.0,0.0,884.0,0,2035,0.0,2,1,3,1,1,2001.0,2.0,434.0,222500,False,9,9,5,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,108.0,14774,9,5,165.0,0.0,0.0,1393.0,0,2599,0.0,2,1,4,1,1,1999.0,3.0,779.0,333168,False,11,11,6,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,60.0,17433,8,5,114.0,0.0,0.0,1629.0,0,2475,0.0,2,1,4,1,1,1998.0,3.0,962.0,355000,False,12,12,3,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,59.0,10593,7,5,338.0,919.0,0.0,1720.0,0,1720,1.0,2,0,3,1,1,1996.0,2.0,527.0,260400,False,14,14,4,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,98.0,12256,8,5,362.0,1032.0,0.0,1463.0,0,2622,1.0,2,1,3,1,2,1994.0,2.0,712.0,325000,True,16,15,6,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,92.0,11764,8,7,348.0,524.0,0.0,1152.0,0,2270,0.0,2,1,4,1,1,1999.0,3.0,671.0,290000,True,11,3,5,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,58.0,16770,7,5,30.0,0.0,0.0,1195.0,0,1839,0.0,2,1,4,1,0,1998.0,2.0,486.0,221000,False,12,12,3,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,56.0,14720,8,5,579.0,816.0,0.0,2033.0,0,3238,1.0,2,1,4,1,1,1996.0,3.0,666.0,410000,True,15,14,5,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,73.0,8987,8,5,226.0,0.0,0.0,1595.0,0,1595,0.0,2,0,2,1,1,2005.0,3.0,880.0,221500,True,5,4,4,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,92.0,9215,7,5,0.0,0.0,0.0,1218.0,0,1218,0.0,2,0,2,1,0,2009.0,2.0,676.0,204500,True,1,0,2,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,72.0,8640,7,5,0.0,24.0,0.0,756.0,0,1547,0.0,2,1,3,1,0,2009.0,2.0,614.0,215200,False,1,1,4,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,75.0,9000,8,5,36.0,1078.0,0.0,1566.0,0,1566,1.0,2,0,3,1,0,2008.0,2.0,750.0,262500,False,2,2,4,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,100.0,12552,7,5,0.0,222.0,0.0,991.0,0,1947,0.0,2,1,3,1,1,2004.0,2.0,678.0,254900,True,6,5,5,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
